,0,1
0,1,1
1,2,1
2,3,1
3,4,1
4,5,1
5,6,2
6,7,1
7,8,2
8,9,1
9,10,2
10,11,1
11,12,1
12,13,1
13,14,2
14,15,1
15,16,2
16,17,6
17,18,10
18,19,15
19,20,1
20,21,1
21,22,2
22,23,6
23,24,10
24,25,13
25,26,13
26,27,1
27,28,1
28,29,1
29,30,2
30,31,1
31,32,2
32,33,1
33,34,2
34,35,1
35,36,1
36,37,1
37,38,2
38,39,1
39,40,2
40,41,6
41,42,10
42,43,1
43,44,1
44,45,1
45,46,2
46,47,1
47,48,2
48,49,1
49,50,2
50,51,1
51,52,1
52,53,1
53,54,2
54,55,1
55,56,2
56,57,6
57,58,10
58,59,1
59,60,1
60,61,2
61,62,6
62,63,10
63,64,13
64,65,1
65,66,2
66,67,6
67,68,10
68,69,26
69,70,36
70,71,13
71,72,15
72,73,13
73,74,13
74,75,13
75,76,13
76,77,15
77,78,23
78,79,13
79,80,13
80,81,13
81,82,13
82,83,1
83,84,1
84,85,1
85,86,2
86,87,6
87,88,10
88,89,1
89,90,2
90,91,1
91,92,2
92,93,6
93,94,10
94,95,1
95,96,2
96,97,1
97,98,2
98,99,1
99,100,1
100,101,2
101,102,6
102,103,1
103,104,2
104,105,1
105,106,2
106,107,1
107,108,1
108,109,1
109,110,2
110,111,6
111,112,10
112,113,13
113,114,13
114,115,13
115,116,1
116,117,2
117,118,6
118,119,10
119,120,13
120,121,13
121,122,13
122,123,1
123,124,1
124,125,1
125,126,2
126,127,6
127,128,10
128,129,13
129,130,13
130,131,1
131,132,1
132,133,1
133,134,2
134,135,6
135,136,10
136,137,13
137,138,13
138,139,1
139,140,1
140,141,2
141,142,6
142,143,10
143,144,23
144,145,35
145,146,45
146,147,1
147,148,1
148,149,1
149,150,2
150,151,1
151,152,2
152,153,1
153,154,2
154,155,1
155,156,2
156,157,6
157,158,10
158,159,13
159,160,13
160,161,13
161,162,13
162,163,1
163,164,2
164,165,6
165,166,10
166,167,26
167,168,42
168,169,45
169,170,51
170,171,1
171,172,1
172,173,1
173,174,2
174,175,6
175,176,10
176,177,1
177,178,2
178,179,6
179,180,10
180,181,13
181,182,13
182,183,15
183,184,23
184,185,35
185,186,45
186,187,13
187,188,13
188,189,15
189,190,23
190,191,13
191,192,15
192,193,1
193,194,2
194,195,1
195,196,2
196,197,6
197,198,10
198,199,1
199,200,2
200,201,1
201,202,2
202,203,1
203,204,1
204,205,1
205,206,2
206,207,6
207,208,10
208,209,13
209,210,13
210,211,15
211,212,23
212,213,13
213,214,13
214,215,13
215,216,13
216,217,13
217,218,13
218,219,1
219,220,2
220,221,1
221,222,2
222,223,1
223,224,2
224,225,1
225,226,2
226,227,1
227,228,1
228,229,2
229,230,6
230,231,10
231,232,13
232,233,1
233,234,2
234,235,1
235,236,2
236,237,1
237,238,2
238,239,1
239,240,2
240,241,6
241,242,10
242,243,1
243,244,1
244,245,2
245,246,6
246,247,1
247,248,2
248,249,6
249,250,10
250,251,13
251,252,13
252,253,13
253,254,13
254,255,1
255,256,2
256,257,6
257,258,10
258,259,1
259,260,1
260,261,1
261,262,2
262,263,1
263,264,2
264,265,6
265,266,10
266,267,13
267,268,13
268,269,13
269,270,13
270,271,13
271,272,13
272,273,1
273,274,2
274,275,6
275,276,1
276,277,1
277,278,2
278,279,1
279,280,2
280,281,6
281,282,10
282,283,1
283,284,2
284,285,6
285,286,10
286,287,1
287,288,2
288,289,1
289,290,2
290,291,1
291,292,2
292,293,6
293,294,10
294,295,26
295,296,42
296,297,106
297,298,170
298,299,426
299,300,682
